contestId,index,name,tags,rating,solved
1998,C,Perform Operations to Maximize Score,"['binary search', 'brute force', 'constructive algorithms', 'greedy', 'implementation']",1900.0,640
1998,B,Minimize Equal Sum Subarrays,"['constructive algorithms', 'math', 'number theory']",1000.0,770
1998,A,Find K Distinct Points with Fixed Center,"['constructive algorithms', 'implementation', 'math']",800.0,757
1997,F,Chips on a Line,"['brute force', 'combinatorics', 'dp', 'greedy', 'math']",2700.0,385
1997,E,Level Up,"['binary search', 'brute force', 'data structures', 'divide and conquer', 'implementation']",2200.0,715
1997,D,Maximize the Root,"['binary search', 'dfs and similar', 'dp', 'greedy', 'trees']",1500.0,854
1997,C,Even Positions,"['constructive algorithms', 'data structures', 'greedy']",1100.0,780
1997,B,Make Three Regions,"['constructive algorithms', 'two pointers']",1100.0,782
1997,A,Strong Password,"['brute force', 'implementation', 'strings']",800.0,806
1996,G,Penacony,"['brute force', 'data structures', 'graphs', 'greedy', 'hashing']",2200.0,413
1996,F,Bomb,"['binary search', 'greedy', 'math']",1900.0,448
1996,E,Decode,"['combinatorics', 'data structures', 'implementation', 'math']",1600.0,461
1996,D,Fun,"['binary search', 'brute force', 'combinatorics', 'math', 'number theory']",1500.0,445
1996,C,Sort,"['dp', 'greedy', 'sortings', 'strings']",1200.0,453
1996,B,Scale,"['greedy', 'implementation']",800.0,447
1996,A,Legs,"['binary search', 'math', 'ternary search']",800.0,465
1995,E2,Let Me Teach You a Lesson (Hard Version),"['data structures', 'dp', 'matrices', 'two pointers']",2900.0,151
1995,E1,Let Me Teach You a Lesson (Easy Version),"['2-sat', 'data structures', 'dp', 'matrices', 'two pointers']",2700.0,195
1995,D,Cases,"['bitmasks', 'brute force', 'dp', 'strings']",2300.0,640
1995,C,Squaring,"['brute force', 'constructive algorithms', 'greedy', 'implementation', 'math', 'number theory']",1800.0,728
1995,B2,Bouquet (Hard Version),"['binary search', 'data structures', 'greedy', 'math', 'sortings', 'two pointers']",1700.0,645
1995,B1,Bouquet (Easy Version),"['binary search', 'brute force', 'greedy', 'sortings', 'two pointers']",1100.0,719
